sex,age,address,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,extra-curricular activities,health,absences,Test1,Test2,Final Exam
F,16,U,4,3,other,at_home,mother,1,3,0,no,3,2,60,65,65
M,16,U,4,4,services,services,mother,1,1,0,yes,4,12,45,45,40
M,16,U,4,4,services,teacher,father,1,3,0,yes,4,0,80,80,80
M,15,U,4,4,services,other,mother,1,1,0,yes,5,2,60,65,60
F,15,U,3,2,services,other,mother,2,2,0,no,2,16,55,50,50
M,15,U,3,4,services,other,mother,1,2,0,yes,1,0,80,80,80
F,15,U,3,3,other,health,father,1,4,0,no,4,10,50,50,50
F,15,U,2,2,other,other,mother,1,4,0,no,3,4,50,50,50
M,16,U,3,3,services,other,father,1,3,0,yes,5,4,65,70,70
M,15,R,4,4,other,other,father,4,4,0,yes,1,8,60,50,55
F,16,U,4,4,health,health,mother,1,3,0,yes,4,2,75,75,70
M,15,U,4,4,teacher,teacher,mother,1,1,0,yes,4,4,65,70,70
F,16,R,3,3,services,other,father,1,3,0,yes,2,4,55,55,55
F,16,U,2,2,at_home,other,mother,1,2,1,yes,5,12,40,50,50
M,15,U,4,2,teacher,other,mother,1,1,0,no,3,10,90,85,90
M,15,R,2,1,health,services,mother,1,2,0,yes,5,4,50,45,50
M,16,U,4,4,teacher,teacher,father,1,2,0,yes,5,6,80,70,70
M,15,U,4,4,other,teacher,father,2,2,0,yes,2,4,80,75,80
M,16,U,3,3,other,services,father,2,1,0,yes,5,6,70,70,75
M,17,R,1,3,other,other,father,3,2,1,yes,5,14,60,55,55
M,15,U,3,4,other,other,father,1,1,0,no,4,2,70,65,70
F,15,U,1,2,at_home,services,mother,1,2,0,no,1,0,70,70,70
M,15,U,2,2,services,services,father,1,4,0,yes,5,6,70,65,65
F,16,U,2,4,other,health,father,2,2,0,yes,5,2,70,60,65
M,16,U,4,4,health,other,mother,1,1,0,yes,5,4,60,65,65
F,16,U,2,2,other,other,mother,1,2,0,no,5,0,60,55,55
M,15,U,3,4,services,services,father,1,1,0,no,5,2,45,45,45
F,15,U,3,4,other,other,mother,1,2,0,yes,1,0,50,55,55
F,19,U,0,1,at_home,other,other,1,2,2,no,5,0,45,50,55
M,16,R,4,4,teacher,teacher,mother,1,1,0,yes,4,8,70,70,75
M,16,U,2,3,other,other,mother,2,3,0,no,1,4,65,60,65
F,15,R,3,4,services,teacher,father,2,3,0,no,5,0,50,55,60
F,18,U,2,1,services,other,mother,1,2,3,yes,5,10,50,45,40
F,17,U,2,1,other,other,mother,3,1,0,no,5,8,55,50,55
F,15,U,1,1,at_home,other,mother,3,1,0,yes,4,6,55,60,65
F,17,U,2,2,other,other,father,1,1,0,no,5,2,65,60,60
F,16,U,3,4,services,other,father,1,1,0,no,5,12,75,65,70
M,16,U,2,1,at_home,other,mother,4,1,0,no,2,4,45,45,55
F,16,U,2,2,other,other,mother,1,1,1,no,5,12,65,55,55
M,15,R,3,4,at_home,teacher,mother,4,2,0,no,5,2,60,55,55
F,15,U,4,4,services,at_home,mother,1,3,0,yes,5,4,65,70,75
M,17,R,3,4,at_home,other,mother,3,2,0,no,5,2,50,45,50
F,16,R,1,1,at_home,other,mother,4,2,0,no,3,0,70,65,65
M,18,U,3,1,services,services,mother,2,1,0,yes,4,2,55,55,60
F,18,U,3,2,other,services,other,1,3,0,yes,5,10,60,55,55
F,16,R,1,1,other,services,mother,2,1,0,yes,1,8,60,55,55
F,16,U,3,3,other,other,other,2,1,0,yes,5,4,45,45,50
M,16,U,1,1,services,other,mother,1,2,2,no,5,0,50,50,50
F,15,U,4,4,teacher,teacher,mother,2,1,0,yes,5,6,65,70,70
F,15,R,1,1,other,other,mother,3,1,1,yes,1,2,40,45,45
M,15,U,4,3,teacher,services,father,2,4,0,no,3,6,45,55,55
F,15,U,3,3,services,services,mother,1,2,0,no,1,24,45,40,45
M,16,U,4,4,services,services,mother,1,3,0,yes,5,0,75,65,65
M,16,U,2,2,services,services,father,2,1,0,yes,2,4,60,55,55
F,15,U,4,4,teacher,services,mother,1,3,0,yes,5,2,65,65,65
F,16,U,1,1,at_home,at_home,mother,1,1,0,no,1,4,50,55,55
M,17,U,2,1,other,other,mother,1,1,0,no,5,22,45,35,30
F,15,U,1,1,other,services,father,1,2,0,no,5,0,60,60,60
F,15,U,2,1,at_home,other,mother,2,1,0,yes,5,0,55,50,50
F,15,U,3,2,health,services,father,1,2,1,no,3,2,55,55,55
F,15,U,1,2,at_home,other,mother,1,2,0,no,5,6,65,60,65
F,15,U,1,2,at_home,services,father,1,2,0,no,1,6,55,55,55
M,16,U,4,4,teacher,teacher,mother,1,1,0,no,5,16,45,45,40
M,15,U,2,1,services,other,mother,4,1,0,no,5,0,60,55,55
M,18,U,1,1,other,other,mother,1,1,2,no,4,0,55,45,0
M,16,U,2,1,at_home,other,mother,1,1,1,yes,5,6,45,50,50
F,15,R,3,3,services,services,other,2,3,0,yes,3,2,65,65,65
M,19,U,3,2,services,at_home,mother,1,1,0,no,4,6,55,45,55
F,17,U,4,4,other,teacher,mother,1,1,0,no,4,0,65,65,65
M,15,R,2,3,at_home,services,mother,1,2,0,yes,1,0,35,40,40
M,17,R,1,2,other,other,mother,1,1,3,no,5,14,45,40,50
F,18,R,1,1,at_home,other,mother,3,1,3,yes,4,6,55,50,55
M,16,R,2,2,at_home,other,mother,3,1,0,no,3,4,60,50,55
M,16,U,3,3,other,services,father,1,2,1,no,5,0,50,50,5
M,16,U,1,2,health,services,mother,2,1,2,no,5,0,45,40,50
M,17,R,2,1,at_home,other,mother,2,1,1,yes,5,8,40,40,45
M,17,R,3,2,other,other,mother,2,2,2,no,3,4,35,30,40
M,15,U,1,2,other,other,mother,2,1,0,yes,5,2,40,45,50
M,16,U,1,3,at_home,services,father,1,1,1,no,2,2,45,40,40
M,17,R,1,1,other,services,mother,4,2,0,yes,5,0,40,40,40
M,17,U,3,2,services,services,mother,2,1,3,yes,2,10,40,35,40
M,16,U,2,2,other,other,father,1,2,0,no,4,0,45,50,55
F,16,U,4,2,health,services,father,1,2,0,no,3,0,85,85,90
F,16,U,2,2,other,other,mother,1,2,0,no,4,0,60,60,65
F,16,U,4,4,health,health,mother,1,2,0,no,3,0,80,80,85
M,16,U,3,4,other,other,father,3,1,1,yes,2,4,45,45,50
M,16,U,1,0,other,other,mother,2,2,0,yes,3,0,80,85,90
M,17,U,4,4,teacher,other,mother,1,2,0,yes,5,0,55,45,50
F,16,U,1,3,at_home,services,mother,1,2,0,yes,3,0,70,65,65
F,16,U,3,3,other,other,mother,2,2,0,yes,4,0,70,70,75
M,17,U,4,3,teacher,other,mother,2,2,0,yes,4,0,50,55,55
F,16,U,2,2,services,other,mother,2,2,0,yes,5,0,65,60,70
M,17,U,3,3,other,other,father,1,2,0,yes,4,4,55,45,50
M,16,R,4,2,teacher,services,mother,1,1,0,yes,3,8,50,45,55
M,17,U,4,3,other,other,mother,1,2,0,yes,2,4,55,55,65
M,16,U,4,3,teacher,other,mother,1,2,0,yes,3,4,55,50,55
M,16,U,3,3,services,other,mother,1,2,0,yes,3,0,55,60,65
F,17,U,2,4,services,services,father,1,2,0,yes,5,0,85,90,85
F,17,U,3,3,other,other,mother,1,2,0,yes,1,32,70,65,70
F,16,U,3,2,other,other,mother,1,2,0,no,1,8,70,75,80
M,17,U,3,3,services,services,mother,1,2,0,yes,4,6,55,65,70
M,16,U,1,2,services,services,mother,1,1,0,yes,3,0,50,45,55
M,16,U,2,1,other,other,mother,1,2,0,yes,5,0,65,70,80
F,17,U,3,3,health,other,mother,1,2,0,no,3,10,60,65,70
M,17,R,1,2,at_home,other,mother,1,2,0,no,3,6,45,45,50
F,16,U,2,3,services,services,mother,1,2,0,no,2,6,60,60,65
F,17,U,1,1,at_home,services,mother,1,2,0,yes,3,0,60,55,60
M,17,U,1,2,at_home,services,other,2,2,0,yes,5,16,50,55,60
M,16,R,3,3,services,services,mother,1,1,0,yes,5,0,55,50,50
M,16,U,2,3,other,other,father,2,1,0,no,3,0,65,60,60
F,17,U,2,4,services,services,father,1,2,0,yes,5,8,70,75,80
M,17,U,4,4,services,teacher,mother,1,1,0,no,5,4,65,65,70
M,16,R,3,3,teacher,other,father,3,1,0,yes,3,16,50,55,60
F,17,U,4,4,services,teacher,mother,2,1,1,no,2,30,70,75,80
F,16,U,4,4,teacher,teacher,mother,1,2,0,no,3,0,55,50,55
F,16,U,4,3,health,other,mother,1,2,0,yes,2,2,70,70,75
F,16,U,2,3,other,other,mother,1,2,0,yes,4,4,55,60,60
F,17,U,1,1,other,other,mother,1,2,0,no,1,0,70,75,75
F,17,R,2,2,other,other,mother,1,1,0,no,3,21,65,65,65
F,16,R,2,2,services,services,mother,2,4,0,yes,5,6,65,65,65
F,17,U,3,4,at_home,services,mother,1,3,1,no,5,14,40,45,40
F,16,U,3,1,services,other,mother,1,2,0,no,4,2,55,55,60
F,16,U,4,3,teacher,other,mother,1,2,0,yes,1,4,70,75,75
F,16,U,1,1,at_home,other,mother,2,1,0,no,5,2,60,65,65
F,17,R,4,3,teacher,other,mother,2,3,0,yes,4,0,55,60,60
F,19,U,3,3,other,other,other,1,4,0,yes,3,4,60,60,60
M,17,U,4,4,services,other,mother,1,2,0,no,3,15,65,60,60
F,16,U,2,2,other,other,mother,1,2,0,no,4,0,65,65,65
M,18,U,2,2,services,other,mother,1,2,0,yes,5,10,60,55,55
F,17,R,4,4,services,other,mother,1,1,0,no,3,6,60,55,55
F,17,U,3,2,other,other,mother,2,2,0,no,1,2,70,80,75
F,17,U,4,3,other,other,mother,1,2,0,no,1,16,55,45,50
M,18,U,3,3,services,health,father,1,2,0,no,4,10,50,50,50
F,17,U,2,3,at_home,other,father,2,1,0,no,3,4,60,65,65
F,17,U,2,2,at_home,at_home,mother,1,3,0,yes,4,0,60,60,65
F,17,R,2,1,at_home,services,mother,2,2,0,yes,5,0,55,50,55
F,17,U,1,1,at_home,other,mother,1,3,0,yes,5,12,60,60,60
F,16,U,2,3,services,teacher,mother,1,2,0,no,3,0,65,65,70
M,18,U,2,2,other,other,mother,2,2,3,no,4,9,50,45,50
F,16,U,4,4,teacher,services,mother,1,3,0,yes,5,4,75,80,80
F,18,R,3,1,other,other,mother,1,2,0,yes,4,4,40,40,40
F,17,U,3,2,other,other,mother,1,2,0,yes,3,2,85,90,85
M,17,U,2,3,services,services,father,1,2,0,no,3,0,50,55,55
M,18,U,2,1,at_home,other,mother,4,2,0,yes,3,2,45,50,55
F,17,U,2,1,other,other,mother,2,3,0,yes,3,0,75,75,80
F,17,U,4,3,health,other,father,1,2,0,yes,3,0,70,60,60
M,17,R,2,2,other,other,father,2,2,0,yes,1,0,60,65,65
M,17,U,4,4,teacher,teacher,mother,1,2,0,yes,2,0,65,65,65
M,16,U,4,4,health,other,father,1,2,0,yes,1,0,65,65,70
M,16,U,1,1,other,other,mother,2,2,0,no,5,2,45,45,45
M,16,U,3,2,at_home,other,mother,2,3,0,yes,2,0,60,60,60
M,17,U,2,2,other,other,father,1,2,0,yes,4,0,80,80,80
F,16,U,2,1,other,other,mother,1,1,0,no,5,4,45,50,50
F,16,U,4,1,other,other,mother,1,2,0,yes,5,0,70,65,65
F,18,U,2,4,services,other,mother,2,2,1,no,3,18,50,50,50
F,18,U,2,2,at_home,services,mother,1,2,1,no,5,16,45,40,50
F,18,U,3,3,other,other,mother,2,1,1,no,3,14,40,35,35
M,18,U,2,2,other,at_home,other,1,1,1,yes,1,26,35,40,40
M,17,U,4,4,teacher,teacher,mother,1,1,0,yes,5,6,50,40,45
F,17,U,3,2,other,other,father,1,2,0,yes,3,4,70,70,75
F,17,U,1,1,at_home,at_home,mother,1,3,0,yes,4,10,55,50,50
F,16,U,1,2,other,other,mother,1,1,0,no,5,4,60,55,55
F,17,R,2,1,at_home,services,mother,3,2,0,yes,3,2,65,65,65
F,17,R,1,4,other,other,other,4,1,1,no,5,14,45,45,40
M,18,U,2,2,other,services,father,1,2,0,no,2,16,40,35,40
F,17,U,2,2,other,other,mother,1,1,1,no,1,8,55,45,50
F,17,R,1,1,at_home,other,mother,2,3,0,yes,5,4,75,70,75
F,17,U,4,2,teacher,other,mother,1,2,0,yes,4,4,75,70,70
M,17,U,4,3,health,other,mother,2,2,0,yes,5,8,75,75,75
M,17,R,4,4,teacher,other,mother,2,2,0,no,4,0,60,60,60
M,16,U,4,3,teacher,other,mother,1,1,0,yes,3,7,70,70,75
M,16,U,4,4,services,services,mother,1,1,0,yes,5,4,70,75,75
F,17,U,4,4,teacher,services,mother,1,2,0,no,5,2,55,55,60
M,17,R,1,1,other,other,father,2,3,0,no,1,2,65,70,75
F,17,U,3,3,services,other,mother,2,3,0,no,5,10,55,55,55
F,17,U,1,1,at_home,other,mother,1,2,0,no,4,10,50,45,50
F,18,U,2,1,other,other,other,2,3,0,no,3,10,60,50,55
M,16,U,2,1,other,other,mother,3,1,0,no,4,7,75,80,80
F,17,U,1,1,other,services,father,1,2,0,no,5,4,55,50,55
M,17,U,2,3,other,other,father,2,1,0,no,2,2,45,60,65
M,22,U,3,1,services,services,mother,1,1,3,no,1,12,35,40,25
M,18,R,3,3,other,services,mother,1,2,0,no,5,8,50,45,50
M,16,U,0,2,other,other,mother,1,1,0,no,5,0,55,60,55
M,18,U,3,2,services,other,mother,2,1,0,no,5,8,35,40,35
M,16,U,3,3,at_home,other,other,3,2,1,no,2,4,45,55,50
M,18,U,2,1,services,services,mother,1,1,2,no,5,4,35,40,30
M,16,R,2,1,other,other,mother,2,1,0,yes,3,2,70,65,60
M,17,R,2,1,other,other,mother,1,1,0,no,5,0,60,60,65
M,17,U,1,1,health,other,mother,2,1,1,yes,5,0,45,50,50
F,18,U,2,1,other,other,mother,1,2,0,no,5,2,60,60,65
F,17,U,4,2,teacher,services,mother,1,4,0,yes,4,2,70,75,85
F,19,U,2,2,services,services,mother,1,2,0,no,5,0,50,50,55
M,18,U,2,1,services,other,mother,3,2,1,yes,5,4,55,50,55
F,17,R,4,2,other,other,mother,1,3,0,yes,5,2,55,60,70
F,18,U,1,1,other,at_home,mother,1,3,0,no,3,4,55,60,70
F,18,R,2,2,other,other,mother,1,2,0,no,5,4,55,55,65
M,19,U,4,3,services,at_home,mother,1,2,0,no,1,4,55,65,70
M,18,U,2,1,other,other,mother,1,2,0,yes,4,2,80,80,80
M,17,R,2,2,other,services,mother,2,1,0,no,4,0,45,50,50
F,17,U,2,2,services,services,father,1,4,0,yes,2,2,50,55,60
F,20,R,2,1,other,other,other,2,2,0,yes,2,8,50,60,60
F,18,U,4,3,services,other,father,1,2,0,no,2,2,75,75,75
M,18,U,4,3,teacher,other,mother,1,2,0,no,3,2,50,50,55
M,18,R,3,2,other,other,mother,1,3,0,yes,3,2,50,55,60
F,17,U,3,3,other,other,mother,1,3,0,yes,4,2,75,60,65
F,18,U,2,2,at_home,services,mother,1,3,0,yes,3,0,55,60,65
M,17,U,2,2,other,other,father,2,1,0,no,4,8,40,40,45
M,18,R,3,4,other,other,mother,2,2,0,yes,1,6,75,80,80
M,17,U,3,1,services,other,mother,1,2,0,yes,5,0,55,55,70
F,18,R,4,4,teacher,other,mother,2,2,0,yes,4,8,50,55,60
M,18,U,4,2,health,other,father,1,2,0,yes,5,4,50,60,70
F,18,R,2,1,other,other,mother,2,2,0,no,3,12,40,45,50
F,19,U,3,3,other,services,other,1,2,0,yes,5,16,55,60,60
F,18,U,2,3,other,services,father,1,4,0,yes,2,10,80,80,80
F,18,U,1,1,other,other,mother,2,2,0,no,3,2,65,65,65
M,17,R,1,2,at_home,at_home,mother,1,2,0,yes,1,2,80,85,90
F,18,U,2,1,other,other,mother,1,2,0,no,1,8,70,70,75
F,17,U,2,4,at_home,health,mother,2,2,0,no,1,6,75,80,80
F,17,U,2,2,services,other,mother,2,2,0,no,5,6,60,60,60
F,18,R,3,2,other,services,mother,2,2,0,no,5,15,60,45,50
M,18,U,4,4,teacher,services,mother,2,1,0,yes,3,6,55,60,60
F,18,U,4,4,health,health,father,1,2,1,yes,4,2,70,60,65
F,17,U,2,2,other,services,father,3,3,0,no,1,8,65,75,75
F,19,R,3,2,services,services,father,1,2,1,no,3,0,45,40,50
M,18,U,4,3,teacher,services,mother,2,1,0,yes,1,0,50,50,50
M,18,U,1,2,at_home,other,other,2,1,0,no,4,10,50,50,55
M,17,U,4,1,services,other,mother,2,1,0,yes,5,22,55,55,50
M,17,U,3,2,teacher,services,mother,1,1,0,no,3,18,65,65,65
F,18,R,1,1,at_home,other,mother,2,4,0,yes,3,2,85,85,90
F,18,U,1,1,other,other,mother,2,2,0,yes,4,0,60,65,65
F,17,U,2,2,other,other,mother,1,2,0,no,5,12,60,60,70
F,18,U,2,1,other,other,mother,2,2,0,yes,5,10,60,65,70
M,17,U,1,1,other,other,father,1,2,0,no,4,0,60,60,60
F,18,U,2,2,at_home,at_home,mother,1,3,0,no,2,0,90,90,90
F,17,U,1,1,services,teacher,mother,1,3,0,no,3,0,65,65,70
M,18,U,2,1,services,services,mother,1,3,0,yes,2,0,70,75,75
M,18,U,4,4,teacher,teacher,mother,1,2,0,yes,2,0,85,85,85
M,18,U,4,2,teacher,other,mother,1,2,0,yes,5,2,75,80,80
F,17,U,4,3,health,services,mother,1,3,0,no,3,0,85,90,90
F,17,R,3,1,services,other,mother,2,4,0,no,3,0,90,95,95
M,18,R,3,2,services,other,mother,2,3,0,yes,4,0,70,75,75
M,17,U,3,3,health,other,mother,1,1,0,no,5,0,70,75,75
F,19,U,4,4,health,other,other,2,2,0,yes,2,2,70,65,65
F,18,U,4,3,other,other,other,2,2,0,no,2,0,65,70,70
F,18,U,4,3,other,other,father,1,4,0,no,3,0,80,85,85
M,18,U,4,4,teacher,teacher,mother,1,1,0,no,1,0,90,90,85
F,18,U,4,4,health,other,mother,1,2,0,no,4,0,70,75,75
M,17,U,4,4,other,teacher,father,2,1,0,no,5,0,60,65,65
F,17,R,4,4,services,services,mother,2,3,0,yes,5,0,35,35,40
F,17,U,4,2,other,other,mother,2,3,0,no,3,0,80,80,80
F,17,U,3,2,health,health,father,1,4,0,yes,5,0,90,90,90
M,19,R,2,1,at_home,services,mother,2,3,1,yes,5,0,45,50,55
M,20,U,3,2,services,other,other,1,1,2,yes,5,0,70,75,75
M,19,R,3,3,other,services,father,1,2,0,yes,5,0,50,50,55
F,18,U,1,4,other,teacher,mother,1,2,0,no,5,2,50,50,55
F,18,U,2,1,services,other,mother,2,2,0,yes,1,2,60,60,75
F,17,U,2,3,other,other,father,2,2,0,yes,3,2,55,60,70
F,17,R,4,4,teacher,teacher,mother,1,1,0,yes,5,2,75,80,85
F,18,U,4,3,other,other,mother,1,3,0,yes,5,2,70,75,85
F,18,U,4,3,health,services,mother,2,1,0,no,1,8,60,60,75
F,17,R,3,4,at_home,services,father,1,3,0,yes,5,2,75,75,85
F,18,U,3,3,at_home,other,father,1,2,0,no,3,8,55,60,70
M,19,U,4,2,health,other,mother,2,2,0,yes,1,9,55,50,50
F,18,U,4,4,teacher,other,mother,1,2,0,no,5,0,60,55,65
F,18,U,3,4,other,other,mother,1,1,0,yes,1,4,55,60,70
F,17,U,4,4,health,health,mother,1,1,0,yes,5,2,70,75,85
F,17,U,4,3,services,services,mother,1,2,0,no,5,14,75,70,85
F,17,U,3,3,services,other,mother,1,2,0,no,5,0,60,60,65
F,17,U,2,1,other,other,father,1,2,0,yes,2,2,55,60,70
M,18,U,4,4,other,other,father,1,1,0,no,5,2,40,45,55
F,19,U,1,1,other,other,other,3,3,0,yes,5,12,50,50,55
F,19,U,1,1,other,other,other,3,2,2,no,4,2,40,40,45
F,18,U,2,2,other,other,mother,1,1,0,yes,5,2,50,50,50
F,17,U,2,2,other,other,mother,1,2,0,no,3,4,70,65,65
F,17,R,2,2,services,services,mother,1,3,0,yes,3,0,55,55,50
F,17,U,3,1,services,services,father,1,3,0,no,5,0,85,90,85
F,17,U,0,2,at_home,at_home,father,2,3,0,no,2,0,70,70,75
F,18,U,1,1,other,other,mother,2,3,0,yes,2,0,70,70,70
M,18,U,4,4,other,other,mother,1,3,0,yes,3,0,65,70,65
M,17,U,3,3,other,services,mother,1,1,0,yes,5,0,85,90,85
M,17,R,2,2,services,other,mother,4,1,0,no,4,2,55,50,50
F,17,U,4,4,teacher,services,mother,1,3,0,yes,4,0,65,60,65
F,17,U,4,4,teacher,teacher,mother,2,3,0,no,4,4,75,70,75
F,17,U,3,3,at_home,other,mother,1,1,0,yes,5,2,55,60,55
M,18,U,2,2,other,other,mother,1,4,0,yes,5,0,55,55,60
